provinsi,tahun,indikator,nilai,Sumber
Sulawesi Barat,2024,Kasus Kusta Baru,169,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2024,Kasus Kusta Baru,776,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2024,Kasus Kusta Baru,356,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2024,Kasus Kusta Baru,183,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2024,Kasus Kusta Baru,441,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2024,Kasus Malaria Positif,1581,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2024,Kasus Malaria Positif,315,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2024,Kasus Malaria Positif,1905,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2024,Kasus Malaria Positif,1141,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2024,Kasus Malaria Positif,525,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2024,Kasus Malaria Positif,1245,nasional_kesehatan_detail_2014_2024.csv
