provinsi,tahun,indikator,nilai
Kalimantan Barat,2020,Kasus ISPA/Pneumonia,1165
Kalimantan Barat,2020,Kasus Kusta Baru,52
Kalimantan Barat,2020,Kasus Malaria Positif,64
Kalimantan Barat,2021,Kasus Diare Dilayani,32964
Kalimantan Barat,2021,Kasus ISPA/Pneumonia,735
Kalimantan Barat,2021,Kasus Kusta Baru,59
Kalimantan Barat,2021,Kasus Malaria Positif,17
Kalimantan Barat,2022,Kasus Diare Dilayani,40282
Kalimantan Barat,2022,Kasus ISPA/Pneumonia,2115
Kalimantan Barat,2022,Kasus Kusta Baru,27
Kalimantan Barat,2022,Kasus Malaria Positif,53
Kalimantan Barat,2023,Kasus Diare Dilayani,34376
Kalimantan Barat,2023,Kasus ISPA/Pneumonia,1958
Kalimantan Barat,2023,Kasus Kusta Baru,67
Kalimantan Barat,2023,Kasus Malaria Positif,41
Kalimantan Barat,2024,Kasus Diare Dilayani,36776
Kalimantan Barat,2024,Kasus ISPA/Pneumonia,2270
Kalimantan Barat,2024,Kasus Kusta Baru,74
Kalimantan Barat,2024,Kasus Malaria Positif,62
Kalimantan Selatan,2014,Kasus Diare Dilayani,96098
Kalimantan Selatan,2014,Kasus ISPA/Pneumonia,18820
Kalimantan Selatan,2014,Kasus Kusta Baru,156
Kalimantan Selatan,2014,Kasus Malaria Positif,5303
Kalimantan Selatan,2015,Kasus Diare Dilayani,31314
Kalimantan Selatan,2015,Kasus ISPA/Pneumonia,14764
Kalimantan Selatan,2015,Kasus Kusta Baru,145
Kalimantan Selatan,2015,Kasus Malaria Positif,2716
Kalimantan Selatan,2016,Kasus Diare Dilayani,9986
Kalimantan Selatan,2016,Kasus ISPA/Pneumonia,13262
Kalimantan Selatan,2016,Kasus Kusta Baru,124
Kalimantan Selatan,2016,Kasus Malaria Positif,2117
Kalimantan Selatan,2017,Kasus ISPA/Pneumonia,10687
Kalimantan Selatan,2017,Kasus Kusta Baru,98
Kalimantan Selatan,2017,Kasus Malaria Positif,1135
Kalimantan Selatan,2018,Kasus Diare Dilayani,67818
