province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Tengah,2023,Shifting agriculture,931.07086,619408.48744,
Sulawesi Tengah,2023,Unknown,14.46029,9745.12945,
Sulawesi Tenggara,2001,Commodity driven deforestation,13300.20114,8678301.44697,
Sulawesi Tenggara,2001,Forestry,2353.87113,1365332.97191,
Sulawesi Tenggara,2001,Shifting agriculture,199.357,138292.94763,
Sulawesi Tenggara,2001,Unknown,24.98472,15210.86553,
Sulawesi Tenggara,2002,Commodity driven deforestation,12983.87407,8680957.92946,
Sulawesi Tenggara,2002,Forestry,2621.26455,1592386.1108,
Sulawesi Tenggara,2002,Shifting agriculture,169.68001,105087.95377,
Sulawesi Tenggara,2002,Unknown,34.42532,22212.2531,
Sulawesi Tenggara,2003,Commodity driven deforestation,11740.61725,8335000.581259999,
Sulawesi Tenggara,2003,Forestry,1412.17187,877206.20112,
Sulawesi Tenggara,2003,Shifting agriculture,217.09524,145841.04708,
Sulawesi Tenggara,2003,Unknown,18.55524,10733.35669,
Sulawesi Tenggara,2004,Commodity driven deforestation,38152.41494,27334248.80221,
Sulawesi Tenggara,2004,Forestry,3036.97493,1830337.90182,
Sulawesi Tenggara,2004,Shifting agriculture,290.44658,191222.43347,
Sulawesi Tenggara,2004,Unknown,73.78484,59252.9154,
Sulawesi Tenggara,2005,Commodity driven deforestation,14464.12013,10247818.58031,
Sulawesi Tenggara,2005,Forestry,1730.96339,1128596.49681,
Sulawesi Tenggara,2005,Shifting agriculture,158.03545,103891.03733,
Sulawesi Tenggara,2005,Unknown,48.9744,31765.00327,
Sulawesi Tenggara,2006,Commodity driven deforestation,38784.03399,25881304.72889,
Sulawesi Tenggara,2006,Forestry,5186.47812,3267315.85743,
Sulawesi Tenggara,2006,Shifting agriculture,294.0629,181985.81763,
Sulawesi Tenggara,2006,Unknown,53.81647,38881.69176,
Sulawesi Tenggara,2007,Commodity driven deforestation,8734.52709,6176348.4758,
Sulawesi Tenggara,2007,Forestry,1107.94882,649645.08076,
Sulawesi Tenggara,2007,Shifting agriculture,107.1548,70268.66763000001,
Sulawesi Tenggara,2007,Unknown,13.87974,10298.18444,
Sulawesi Tenggara,2008,Commodity driven deforestation,7512.79543,5084776.69514,
Sulawesi Tenggara,2008,Forestry,936.56418,543509.62581,
Sulawesi Tenggara,2008,Shifting agriculture,196.15072,136934.23056,
Sulawesi Tenggara,2008,Unknown,7.442150000000001,6073.92322,
Sulawesi Tenggara,2009,Commodity driven deforestation,25323.69081,17133567.97822,
Sulawesi Tenggara,2009,Forestry,4390.30623,2631419.56247,
Sulawesi Tenggara,2009,Shifting agriculture,166.36862000000002,107134.48425,
Sulawesi Tenggara,2009,Unknown,89.77180999999999,75749.33528,
Sulawesi Tenggara,2010,Commodity driven deforestation,6968.74524,5047170.86444,
Sulawesi Tenggara,2010,Forestry,550.46554,356466.56327000004,
Sulawesi Tenggara,2010,Shifting agriculture,69.45215,50332.17061,
Sulawesi Tenggara,2010,Unknown,22.32584,15594.1561,
Sulawesi Tenggara,2011,Commodity driven deforestation,19213.92646,12725312.19381,
Sulawesi Tenggara,2011,Forestry,3088.80097,1839651.15058,
