provinsi,tahun,indikator,nilai,satuan,Sumber
Aceh,2022,Investasi PMDN - Nilai (Juta Rp),4424.2,Juta Rp,data/raw/bps_pmdn/
Aceh,2023,Investasi PMDN - Nilai (Juta Rp),8883.3,Juta Rp,data/raw/bps_pmdn/
Sumatera Utara,2022,Investasi PMDN - Nilai (Juta Rp),22789.2,Juta Rp,data/raw/bps_pmdn/
Sumatera Utara,2023,Investasi PMDN - Nilai (Juta Rp),21574.0,Juta Rp,data/raw/bps_pmdn/
Sumatera Barat,2022,Investasi PMDN - Nilai (Juta Rp),2559.8,Juta Rp,data/raw/bps_pmdn/
Sumatera Barat,2023,Investasi PMDN - Nilai (Juta Rp),4488.2,Juta Rp,data/raw/bps_pmdn/
Riau,2022,Investasi PMDN - Nilai (Juta Rp),43062.0,Juta Rp,data/raw/bps_pmdn/
Riau,2023,Investasi PMDN - Nilai (Juta Rp),48243.3,Juta Rp,data/raw/bps_pmdn/
Jambi,2022,Investasi PMDN - Nilai (Juta Rp),8882.7,Juta Rp,data/raw/bps_pmdn/
Jambi,2023,Investasi PMDN - Nilai (Juta Rp),8939.0,Juta Rp,data/raw/bps_pmdn/
Sumatera Selatan,2022,Investasi PMDN - Nilai (Juta Rp),23526.0,Juta Rp,data/raw/bps_pmdn/
Sumatera Selatan,2023,Investasi PMDN - Nilai (Juta Rp),25602.4,Juta Rp,data/raw/bps_pmdn/
Bengkulu,2022,Investasi PMDN - Nilai (Juta Rp),6957.3,Juta Rp,data/raw/bps_pmdn/
Bengkulu,2023,Investasi PMDN - Nilai (Juta Rp),7218.7,Juta Rp,data/raw/bps_pmdn/
Lampung,2022,Investasi PMDN - Nilai (Juta Rp),5809.2,Juta Rp,data/raw/bps_pmdn/
Lampung,2023,Investasi PMDN - Nilai (Juta Rp),7625.8,Juta Rp,data/raw/bps_pmdn/
Kep. Bangka Belitung,2022,Investasi PMDN - Nilai (Juta Rp),6309.0,Juta Rp,data/raw/bps_pmdn/
Kep. Bangka Belitung,2023,Investasi PMDN - Nilai (Juta Rp),7961.4,Juta Rp,data/raw/bps_pmdn/
Kep. Riau,2022,Investasi PMDN - Nilai (Juta Rp),4817.4,Juta Rp,data/raw/bps_pmdn/
Kep. Riau,2023,Investasi PMDN - Nilai (Juta Rp),8856.6,Juta Rp,data/raw/bps_pmdn/
Dki Jakarta,2022,Investasi PMDN - Nilai (Juta Rp),89223.6,Juta Rp,data/raw/bps_pmdn/
Dki Jakarta,2023,Investasi PMDN - Nilai (Juta Rp),95202.1,Juta Rp,data/raw/bps_pmdn/
Jawa Barat,2022,Investasi PMDN - Nilai (Juta Rp),80808.3,Juta Rp,data/raw/bps_pmdn/
Jawa Barat,2023,Investasi PMDN - Nilai (Juta Rp),88012.9,Juta Rp,data/raw/bps_pmdn/
Jawa Tengah,2022,Investasi PMDN - Nilai (Juta Rp),24992.3,Juta Rp,data/raw/bps_pmdn/
Jawa Tengah,2023,Investasi PMDN - Nilai (Juta Rp),32987.2,Juta Rp,data/raw/bps_pmdn/
Di Yogyakarta,2022,Investasi PMDN - Nilai (Juta Rp),2275.0,Juta Rp,data/raw/bps_pmdn/
